标题,总价（万）,单价,小区,区域,房间数,大小,朝向,建造时间,标签
正南朝向 产权清晰 出行方便 电梯房 满二 高楼层视野无遮挡,250,26871元/㎡,弘阳燕江府,栖霞,3,93.04㎡,南,2018年建造,"['南', '满二年', '户型方正']"
扬子一村 小三居 中间楼层 近扬子一中 靠经久菜场 二村菜场,78,10130元/㎡,扬子一村,六合,3,77㎡,南北,1992年建造,"['南北', '满二年']"
南北通透 精装好房 低密度社区 带电梯 高楼层视野无遮挡,235,28314元/㎡,云谷山庄,鼓楼,3,83㎡,南北,2011年建造,"['南北', '房东直卖', '有电梯', '近地铁']"
迈皋桥核心（无费用）优惠力度大 车接车 来电享优惠 专属,278,31236元/㎡,金浦御龙湾,栖霞,2,89㎡,南,,"['南北通透', '厨卫全明', '动静分离', '多轨交']"
新城璞樾钟山 次新房 南向采光好 交通便捷 双卫生间 商品房,499,36262元/㎡,新城璞樾钟山,栖霞,3,137.61㎡,南,2019年建造,"['南', '满二年', '近地铁', '次新房']"
九龙湖次新房万科金域蓝湾精装修3房保养好诚心出售,339,29610元/㎡,万科金域蓝湾,江宁,3,114.49㎡,南北,2018年建造,"['南北', '房东直卖', '满二年', '近地铁']"
金阜雅苑 正规商品房 交通便捷 中间好楼层 近医院,266,34904元/㎡,金阜雅苑,鼓楼,2,76.21㎡,南北,2013年建造,['南北']
内部特价打骨折 雨核贾西地铁口 高端品质尊享 免费看房车,396,40000元/㎡,建发璞云,雨花台,3,99㎡,南,,"['大阳台', '客厅朝南', '购物中心']"
仙林湖保利罗兰香谷 近双地铁 金中金小 省中医院,204,23182元/㎡,保利罗兰香谷,栖霞,3,88㎡,南北,2018年建造,"['南北', '满二年', '近地铁', '户型方正']"
中海玄武公馆次新房，小区环境优美，业主诚意出售，价格好谈,410,42448元/㎡,中海玄武公馆B区,玄武,3,96.59㎡,南,2018年建造,"['南', '南北通透', '配套成熟', '房东急售']"
急售，急售 临地铁 次新小区 南北通透 精装可拎包入住,109,12270元/㎡,威尼斯水城第十九街区,浦口,2,88.84㎡,南北,2019年建造,"['南北', '满二年', '次新房']"
随时看房 燕子矶 燕江新城新小区 低总价三房 业主急售,128,14485元/㎡,燕江新城燕归苑,栖霞,3,88.37㎡,南北,2017年建造,"['南北', '唯一住房']"
3.5万起！买南部新城，还是精装修！,370,35239元/㎡,禧樾府,江宁,3,105㎡,南北,,['多轨交']
有电梯 停车方便 精装好房 刚需小三居 商业配套成熟 临地铁,188,20216元/㎡,中南世纪雅苑二期,栖霞,3,93㎡,南,2019年建造,"['南', '有电梯', '车位充足']"
必看好房！瑞北1中！1楼带院子！小区C位！采光好！随时看,255,44310元/㎡,瑞金北村(35-69幢),秦淮,3,57.55㎡,南,1990年建造,"['南', '满五年', '近地铁']"
华府国际四期 急降15W 三房两卫 业主急售 看中可谈,180,17515元/㎡,华府国际,浦口,3,102.77㎡,南,2017年建造,"['南', '满二年', '多人关注']"
直降70w 出价就卖 房东急售 带车位！有钥匙随时看,250,26701元/㎡,高科荣境2期,栖霞,3,93.63㎡,南北,2020年建造,"['南北', '热门小区', '房东急售', '随时可看']"
急急急售 房东直降70万 融信世纪东方 双地铁 车位,252,25414元/㎡,融筑儒林花园,栖霞,3,99.16㎡,南北,2019年建造,"['南北', '满二年', '近地铁', '车位充足']"
急卖 精园 三房两厅 万达商圈 地铁口 有钥匙,263,29551元/㎡,精金花园,建邺,3,89㎡,南北,2017年建造,"['南北', '热门小区', '房东急售', '随时可看']"
相信独具慧眼的您会 一套超值低价,375,32895元/㎡,御道嘉庭,秦淮,3,114㎡,南北,2021年建造,"['南北', '价格优惠', '房东急售']"
软件谷 南京产业之城的核心 成熟配套 资源荟萃也要高颜值设计,408,40800元/㎡,保利合肥城建·凤起云台,雨花台,3,100㎡,南,,"['南北通透', '三房朝南', '双阳台', '轨交房']"
诺家优选 银城汇文 低总价两房 小区中间位置 采光无遮挡！,338,50448元/㎡,育才公寓(西片),鼓楼,2,67㎡,南,2000年建造,"['南', '满五年']"
南北通透 商业配套成熟丁家 庄燕舞园 交通便利,149,16446元/㎡,燕舞园,栖霞,3,90.6㎡,南北,2014年建造,"['南北', '满五年', '近地铁']"
29 场门口 清凉门 房龄新 带花园 空间大,328,64377元/㎡,场门口14号小区,鼓楼,2,50.95㎡,南,1990年建造,"['南', '新上小区', '南北通透', '房东急售']"
西流湾 一楼带60平拐角大院子已开门 全明东边户 阳光不挡,298,33623元/㎡,西流湾38-40号双号小区,鼓楼,3,88.63㎡,南北,1995年建造,"['南北', '新上小区', '价格优惠', '随时可看']"
专属团购优惠 车接车,298,33484元/㎡,颐居华发 颐和四季府,栖霞,3,89㎡,南,,"['南北通透', '厨卫全明', '主卧套房', '车位充足']"
花语城中苑 毛坯3房总房价低102万 湖景房随时看,102,11378元/㎡,荣盛花语城(三期),六合,3,89.65㎡,南北,2000年建造,"['南北', '满二年']"
河西南 鱼背豪华四房 天鹅堡花园 新空未入住 有钥匙诚售,650,40124元/㎡,华侨城天鹅堡,建邺,4,162㎡,南,2020年建造,"['南', '有电梯', '近地铁', '次新房']"
燕子矶融创高品质低总价88平双卫小三室精装交付有地暖保养如新,292,32924元/㎡,融创玉兰公馆一期,栖霞,3,88.69㎡,南北,2019年建造,"['南北', '热门小区', '价格优惠', '房东急售']"
四线地铁，立体路网，自建,327,28435元/㎡,中交锦度(新房),浦口,3,115㎡,南,,"['南北通透', '厨卫全明', '双卫生间', '车位充足']"
地铁口满五 有电梯 高楼层 视野无遮挡 近医院 商业配套成熟,123,17827元/㎡,天润城第十一街区(南区),浦口,2,69㎡,南,2011年建造,"['南', '满五年', '近地铁']"
新上直降100W！ 仙林湖金中金小 融信世纪东方 次新房小区,244,24501元/㎡,融筑儒林花园,栖霞,3,99.59㎡,南,2018年建造,"['南', '热门小区', '近地铁', '房东急售']"
急急急！带产权车位！降价70万！自住装修！！,210,22164元/㎡,万达茂御湖仕家二期,栖霞,3,94.75㎡,南北,2015年建造,"['南北', '满五年', '近地铁']"
扬子二村三楼精装修暖气房,60,11651元/㎡,扬子二村,六合,2,51.5㎡,南北,1990年建造,"['南北', '唯一住房']"
总价350万起 铁心桥 伟星时代悦峰 景明佳园地铁口 优惠大,420,40385元/㎡,伟星·时代悦峰,雨花台,3,104㎡,南,,"['双阳台', '客餐厅相连', '客厅朝南', '轨交房']"
竹山路武夷绿洲品兰苑 南北通透电梯大两房 中间楼层 年底急售,230,23268元/㎡,武夷绿洲品兰苑,江宁,2,98.85㎡,南北,2010年建造,"['南北', '满五年', '近地铁']"
豪装40万 经典3开间朝南房 视野采光好 小区中心位置,140,16280元/㎡,威尼斯水城第十六街区,浦口,2,86㎡,南北,2019年建造,"['南北', '满五年', '次新房', '户型方正']"
雨花区 板桥 吾悦广场旁 绿洲南苑 大三房 房东诚心出售,78,9741元/㎡,绿洲南苑C区,雨花台,3,80.08㎡,南北,2000年建造,"['南北', '满二年']"
中海左岸澜庭 二次装修 业主急卖 价格可谈 看房联系HXY,250,25576元/㎡,中海左岸澜庭,浦口,3,97.75㎡,南,2021年建造,"['南', '热门小区', '近地铁', '南北通透']"
拒绝虚假 紫金山脚下电梯入户四层170平大平层 视野非常好,568,33412元/㎡,保利紫晶山,栖霞,4,170㎡,南,2013年建造,"['南', '热门小区', '近地铁', '配套成熟']"
老业主诚售 价可谈 小区低 随时看 拎包入住,238,33812元/㎡,万达西地,建邺,2,70.39㎡,南北,2010年建造,"['南北', '热门小区', '房东急售', '随时可看']"
安个家 专注油坊桥 小区专家 咨询更多 房,165,18685元/㎡,莲花新城嘉园,建邺,3,88.31㎡,南,2012年建造,"['南', '满二年', '近地铁']"
雨山路地铁口.220万起！10号线地铁直达河西！随时看房,270,27000元/㎡,龙湖天曜城,浦口,3,100㎡,南,,"['轨交房', '车位充足']"
标题,总价（万）,单价,小区,区域,房间数,大小,朝向,建造时间,标签
急售，工作调动，看好大胆出价，房东愿意低价出售,300,26065元/㎡,融筑儒林花园,栖霞,3,115.1㎡,南北,2019年建造,"['南北', '满五年', '近地铁', '车位充足']"
楼层好 居住密度低 钥匙房 满五,320,34240元/㎡,鑫园小区,秦淮,3,93.46㎡,南,2002年建造,"['南', '满五年']"
弘阳禹洲时光印象 商品房 交通便捷 电梯房 近地铁 南北通透,86,9713元/㎡,弘阳禹洲时光印象,滨江开发区,3,88.55㎡,南北,2019年建造,"['南北', '近地铁', '价格优惠', '房东急售']"
尊荣典范 成功象征 豪宅标配会所 超大绿化空间 单价低至3万,350,32111元/㎡,保利·燕璟和颂,栖霞,3,109㎡,南,,"['动静分离', '户型方正', '多轨交', '车位充足']"
珍珠雅苑 近地铁 商圈成熟 南北通透 小三居 板楼 楼层好,110,12088元/㎡,珍珠雅苑,浦口,3,91㎡,南北,2018年建造,"['南北', '满二年']"
中医院旁碧桂园洋房 二次装修 带新风 地暖 有产权车位,168,14609元/㎡,南京碧桂园浅山苑,滨江开发区,3,115㎡,南北,2018年建造,"['南北', '满二年']"
"福建路两房有电梯,三牌楼商圈生活便利 交通发达",145,20852元/㎡,钟阜大厦,鼓楼,2,69.54㎡,南,2018年建造,"['南', '满五年']"
央企独资开发 豪宅标配会所 超大绿化空间 高定位装标,320,32324元/㎡,保利·燕璟和颂,栖霞,3,99㎡,南,,"['多轨交', '车位充足']"
新上！直降50万急售 业主装修40万 金中金小 双地铁,423,35718元/㎡,融筑儒林花园,栖霞,3,118.43㎡,南北,2020年建造,"['南北', '近地铁', '车位充足']"
中海玄武公馆次新房，小区环境优美，业主诚意出售，价格好谈,410,42448元/㎡,中海玄武公馆B区,玄武,3,96.59㎡,南,2018年建造,"['南', '南北通透', '配套成熟', '房东急售']"
